county,precinct,office,district,candidate,party,election_day,early_voting,mail,provisional,other,votes
Taylor,7-Johnson Strip Rd Voting,State Senate,3,Marva Harris Preston,REP,227,552,241,4,0,1024
Taylor,7-Johnson Strip Rd Voting,State Senate,3,Loranne Ausley,DEM,29,54,44,1,0,128
Taylor,7-Johnson Strip Rd Voting,State Senate,3,Undervotes,,4,9,9,0,0,22
Taylor,7-Johnson Strip Rd Voting,State Senate,3,Overvotes,,1,0,0,0,0,1
Taylor,7-Johnson Strip Rd Voting,State Representative,7,Jason Shoaf,REP,225,566,257,4,0,1052
Taylor,7-Johnson Strip Rd Voting,State Representative,7,Taymour Khan,DEM,26,37,31,1,0,95
Taylor,7-Johnson Strip Rd Voting,State Representative,7,Undervotes,,10,12,6,0,0,28
Taylor,7-Johnson Strip Rd Voting,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,Registered Voters,,,,,,,,,895
Taylor,8-United Steel Workers Bdg,Ballots Cast,,,,178,327,195,1,0,701
Taylor,8-United Steel Workers Bdg,President,,Donald J. Trump,REP,143,254,115,1,0,513
Taylor,8-United Steel Workers Bdg,President,,Joseph R. Biden,DEM,33,68,76,0,0,177
Taylor,8-United Steel Workers Bdg,President,,Jo Jorgensen,LPF,2,4,2,0,0,8
Taylor,8-United Steel Workers Bdg,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,President,,Write-in,,0,1,1,0,0,2
Taylor,8-United Steel Workers Bdg,President,,Undervotes,,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,President,,Overvotes,,0,0,1,0,0,1
Taylor,8-United Steel Workers Bdg,U.S. House,2,Neal Dunn,REP,151,286,146,1,0,584
Taylor,8-United Steel Workers Bdg,U.S. House,2,Write-in,,8,8,8,0,0,24
Taylor,8-United Steel Workers Bdg,U.S. House,2,Undervotes,,19,33,41,0,0,93
Taylor,8-United Steel Workers Bdg,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,State Senate,3,Marva Harris Preston,REP,132,247,113,1,0,493
Taylor,8-United Steel Workers Bdg,State Senate,3,Loranne Ausley,DEM,42,70,72,0,0,184
Taylor,8-United Steel Workers Bdg,State Senate,3,Undervotes,,4,10,10,0,0,24
Taylor,8-United Steel Workers Bdg,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,8-United Steel Workers Bdg,State Representative,7,Jason Shoaf,REP,133,252,130,1,0,516
Taylor,8-United Steel Workers Bdg,State Representative,7,Taymour Khan,DEM,35,64,53,0,0,152
Taylor,8-United Steel Workers Bdg,State Representative,7,Undervotes,,10,11,12,0,0,33
Taylor,8-United Steel Workers Bdg,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,Registered Voters,,,,,,,,,730
Taylor,9-Forest Capital Hall,Ballots Cast,,,,111,263,185,1,0,560
Taylor,9-Forest Capital Hall,President,,Donald J. Trump,REP,103,244,139,1,0,487
Taylor,9-Forest Capital Hall,President,,Joseph R. Biden,DEM,8,19,44,0,0,71
Taylor,9-Forest Capital Hall,President,,Jo Jorgensen,LPF,0,0,1,0,0,1
Taylor,9-Forest Capital Hall,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,President,,Write-in,,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,President,,Undervotes,,0,0,1,0,0,1
Taylor,9-Forest Capital Hall,President,,Overvotes,,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,U.S. House,2,Neal Dunn,REP,100,240,158,1,0,499
Taylor,9-Forest Capital Hall,U.S. House,2,Write-in,,2,1,5,0,0,8
Taylor,9-Forest Capital Hall,U.S. House,2,Undervotes,,9,22,22,0,0,53
Taylor,9-Forest Capital Hall,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,State Senate,3,Marva Harris Preston,REP,98,232,137,1,0,468
Taylor,9-Forest Capital Hall,State Senate,3,Loranne Ausley,DEM,10,23,37,0,0,70
Taylor,9-Forest Capital Hall,State Senate,3,Undervotes,,3,8,11,0,0,22
Taylor,9-Forest Capital Hall,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,9-Forest Capital Hall,State Representative,7,Jason Shoaf,REP,100,239,141,1,0,481
Taylor,9-Forest Capital Hall,State Representative,7,Taymour Khan,DEM,6,17,33,0,0,56
Taylor,9-Forest Capital Hall,State Representative,7,Undervotes,,5,7,11,0,0,23
Taylor,9-Forest Capital Hall,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,Registered Voters,,,,,,,,,699
Taylor,10-Lakeside Bapt Church,Ballots Cast,,,,165,246,153,6,0,570
Taylor,10-Lakeside Bapt Church,President,,Donald J. Trump,REP,137,217,114,6,0,474
Taylor,10-Lakeside Bapt Church,President,,Joseph R. Biden,DEM,26,28,36,0,0,90
Taylor,10-Lakeside Bapt Church,President,,Jo Jorgensen,LPF,2,1,2,0,0,5
Taylor,10-Lakeside Bapt Church,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,President,,Howie Hawkins,GRE,0,0,1,0,0,1
Taylor,10-Lakeside Bapt Church,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,President,,Write-in,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,President,,Undervotes,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,President,,Overvotes,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,U.S. House,2,Neal Dunn,REP,147,227,129,6,0,509
Taylor,10-Lakeside Bapt Church,U.S. House,2,Write-in,,2,5,9,0,0,16
Taylor,10-Lakeside Bapt Church,U.S. House,2,Undervotes,,16,14,15,0,0,45
Taylor,10-Lakeside Bapt Church,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,State Senate,3,Marva Harris Preston,REP,130,212,109,6,0,457
Taylor,10-Lakeside Bapt Church,State Senate,3,Loranne Ausley,DEM,30,30,39,0,0,99
Taylor,10-Lakeside Bapt Church,State Senate,3,Undervotes,,5,4,5,0,0,14
Taylor,10-Lakeside Bapt Church,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,10-Lakeside Bapt Church,State Representative,7,Jason Shoaf,REP,138,216,117,6,0,477
Taylor,10-Lakeside Bapt Church,State Representative,7,Taymour Khan,DEM,22,27,34,0,0,83
Taylor,10-Lakeside Bapt Church,State Representative,7,Undervotes,,5,3,2,0,0,10
Taylor,10-Lakeside Bapt Church,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,Registered Voters,,,,,,,,,769
Taylor,11-Kelly Grade Voting House,Ballots Cast,,,,181,266,167,0,0,614
Taylor,11-Kelly Grade Voting House,President,,Donald J. Trump,REP,174,257,136,0,0,567
Taylor,11-Kelly Grade Voting House,President,,Joseph R. Biden,DEM,5,8,30,0,0,43
Taylor,11-Kelly Grade Voting House,President,,Jo Jorgensen,LPF,1,0,0,0,0,1
Taylor,11-Kelly Grade Voting House,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,President,,Howie Hawkins,GRE,0,0,1,0,0,1
Taylor,11-Kelly Grade Voting House,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,President,,Write-in,,1,1,0,0,0,2
Taylor,11-Kelly Grade Voting House,President,,Undervotes,,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,President,,Overvotes,,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,U.S. House,2,Neal Dunn,REP,172,258,143,0,0,573
Taylor,11-Kelly Grade Voting House,U.S. House,2,Write-in,,1,0,3,0,0,4
Taylor,11-Kelly Grade Voting House,U.S. House,2,Undervotes,,8,8,21,0,0,37
Taylor,11-Kelly Grade Voting House,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,State Senate,3,Marva Harris Preston,REP,163,248,129,0,0,540
Taylor,11-Kelly Grade Voting House,State Senate,3,Loranne Ausley,DEM,16,13,33,0,0,62
Taylor,11-Kelly Grade Voting House,State Senate,3,Undervotes,,2,5,5,0,0,12
Taylor,11-Kelly Grade Voting House,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,11-Kelly Grade Voting House,State Representative,7,Jason Shoaf,REP,171,255,136,0,0,562
Taylor,11-Kelly Grade Voting House,State Representative,7,Taymour Khan,DEM,7,9,22,0,0,38
Taylor,11-Kelly Grade Voting House,State Representative,7,Undervotes,,3,2,9,0,0,14
Taylor,11-Kelly Grade Voting House,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,Registered Voters,,,,,,,,,1036
Taylor,12-Perry Shrine Bldg,Ballots Cast,,,,167,354,270,7,0,798
Taylor,12-Perry Shrine Bldg,President,,Donald J. Trump,REP,105,205,132,4,0,446
Taylor,12-Perry Shrine Bldg,President,,Joseph R. Biden,DEM,59,143,134,3,0,339
Taylor,12-Perry Shrine Bldg,President,,Jo Jorgensen,LPF,2,3,0,0,0,5
Taylor,12-Perry Shrine Bldg,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,President,,Howie Hawkins,GRE,1,0,0,0,0,1
Taylor,12-Perry Shrine Bldg,President,,Don Blankenship,CPF,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,President,,Write-in,,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,President,,Undervotes,,0,1,1,0,0,2
Taylor,12-Perry Shrine Bldg,President,,Overvotes,,0,2,3,0,0,5
Taylor,12-Perry Shrine Bldg,U.S. House,2,Neal Dunn,REP,138,261,181,5,0,585
Taylor,12-Perry Shrine Bldg,U.S. House,2,Write-in,,8,23,23,0,0,54
Taylor,12-Perry Shrine Bldg,U.S. House,2,Undervotes,,21,70,66,2,0,159
Taylor,12-Perry Shrine Bldg,U.S. House,2,Overvotes,,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,State Senate,3,Marva Harris Preston,REP,105,208,129,4,0,446
Taylor,12-Perry Shrine Bldg,State Senate,3,Loranne Ausley,DEM,60,134,133,3,0,330
Taylor,12-Perry Shrine Bldg,State Senate,3,Undervotes,,2,12,8,0,0,22
Taylor,12-Perry Shrine Bldg,State Senate,3,Overvotes,,0,0,0,0,0,0
Taylor,12-Perry Shrine Bldg,State Representative,7,Jason Shoaf,REP,109,214,138,4,0,465
Taylor,12-Perry Shrine Bldg,State Representative,7,Taymour Khan,DEM,53,129,124,3,0,309
Taylor,12-Perry Shrine Bldg,State Representative,7,Undervotes,,5,11,8,0,0,24
Taylor,12-Perry Shrine Bldg,State Representative,7,Overvotes,,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,Registered Voters,,,,,,,,,1143
Taylor,13-Jerkins Bldg,Ballots Cast,,,,212,351,269,4,0,836
Taylor,13-Jerkins Bldg,President,,Donald J. Trump,REP,16,91,48,1,0,156
Taylor,13-Jerkins Bldg,President,,Joseph R. Biden,DEM,191,256,207,3,0,657
Taylor,13-Jerkins Bldg,President,,Jo Jorgensen,LPF,2,1,1,0,0,4
Taylor,13-Jerkins Bldg,President,,"Roque ""Rocky"" De La Fuente",REF,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,President,,Gloria La Riva,PSL,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,President,,Howie Hawkins,GRE,0,0,0,0,0,0
Taylor,13-Jerkins Bldg,President,,Don Blankenship,CPF,2,0,0,0,0,2
