county,precinct,office,district,party,candidate,votes,early_voting,election_day,mail
Madison,11,State Senate,3,DEM,Loranne Ausley,315,119,143,53
Madison,2,State Senate,3,DEM,Loranne Ausley,131,47,41,43
Madison,3,State Senate,3,DEM,Loranne Ausley,240,93,91,56
Madison,4,State Senate,3,DEM,Loranne Ausley,53,,,
Madison,5,State Senate,3,DEM,Loranne Ausley,336,89,191,56
Madison,6,State Senate,3,DEM,Loranne Ausley,38,,,
Madison,7,State Senate,3,DEM,Loranne Ausley,188,82,52,54
Madison,1,Justice of the Supreme Court-Canady,"","",Yes,737,372,261,104
Madison,8,Justice of the Supreme Court-Canady,"","",Yes,487,259,190,38
Madison,9,Justice of the Supreme Court-Canady,"","",Yes,95,,,
Madison,10,Justice of the Supreme Court-Canady,"","",Yes,495,203,200,92
Madison,11,Justice of the Supreme Court-Canady,"","",Yes,283,130,122,31
Madison,2,Justice of the Supreme Court-Canady,"","",Yes,96,,,
Madison,3,Justice of the Supreme Court-Canady,"","",Yes,935,447,396,92
Madison,4,Justice of the Supreme Court-Canady,"","",Yes,161,,,
Madison,5,Justice of the Supreme Court-Canady,"","",Yes,377,107,221,49
Madison,6,Justice of the Supreme Court-Canady,"","",Yes,129,,,
Madison,7,Justice of the Supreme Court-Canady,"","",Yes,507,250,191,66
Madison,1,Justice of the Supreme Court-Canady,"","",No,413,190,158,65
Madison,8,Justice of the Supreme Court-Canady,"","",No,175,,,
Madison,9,Justice of the Supreme Court-Canady,"","",No,55,,,
Madison,10,Justice of the Supreme Court-Canady,"","",No,253,112,79,62
Madison,11,Justice of the Supreme Court-Canady,"","",No,236,103,100,33
Madison,2,Justice of the Supreme Court-Canady,"","",No,75,,,
Madison,3,Justice of the Supreme Court-Canady,"","",No,402,178,165,59
Madison,4,Justice of the Supreme Court-Canady,"","",No,78,,,
Madison,5,Justice of the Supreme Court-Canady,"","",No,209,62,110,37
Madison,6,Justice of the Supreme Court-Canady,"","",No,74,,,
Madison,7,Justice of the Supreme Court-Canady,"","",No,225,114,64,47
Madison,1,Justice of the Supreme Court-Couriel,"","",Yes,745,381,257,107
Madison,8,Justice of the Supreme Court-Couriel,"","",Yes,472,251,185,36
Madison,9,Justice of the Supreme Court-Couriel,"","",Yes,101,,,
Madison,10,Justice of the Supreme Court-Couriel,"","",Yes,479,196,190,93
Madison,11,Justice of the Supreme Court-Couriel,"","",Yes,265,,,
Madison,2,Justice of the Supreme Court-Couriel,"","",Yes,94,,,
Madison,3,Justice of the Supreme Court-Couriel,"","",Yes,946,452,400,94
Madison,4,Justice of the Supreme Court-Couriel,"","",Yes,183,,,
Madison,5,Justice of the Supreme Court-Couriel,"","",Yes,370,100,221,49
Madison,6,Justice of the Supreme Court-Couriel,"","",Yes,130,,,
Madison,7,Justice of the Supreme Court-Couriel,"","",Yes,511,253,186,72
Madison,1,Justice of the Supreme Court-Couriel,"","",No,401,177,162,62
Madison,8,Justice of the Supreme Court-Couriel,"","",No,184,,,
Madison,9,Justice of the Supreme Court-Couriel,"","",No,46,,,
Madison,10,Justice of the Supreme Court-Couriel,"","",No,262,117,87,58
Madison,11,Justice of the Supreme Court-Couriel,"","",No,246,106,104,36
Madison,2,Justice of the Supreme Court-Couriel,"","",No,76,,,
Madison,3,Justice of the Supreme Court-Couriel,"","",No,377,167,153,57
Madison,4,Justice of the Supreme Court-Couriel,"","",No,53,,,
Madison,5,Justice of the Supreme Court-Couriel,"","",No,208,66,107,35
